Company_Name,Phone,Website,Email,City,Province,Service_Area_Cities,Brands_Installed,Services,Google_Maps_Link,Notes,Verification_Status
Acorn Service Group,+1-604-948-9949,acornheat.com,info@acornheat.com,Delta,BC,"Delta, Ladner, Tsawwassen, North Delta, Surrey, Richmond, White Rock",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Acorn+Service+Group+5646+12th+Ave+Delta+BC,Since 1999; BBB Accredited; Ladner and Tsawwassen specialist; boiler + ductless heat pump + tankless + combi boiler + gas fireplace; rebates up to $5000; 24/7; Delta Delta Chamber member,Verified_Website
Neighbourhood Plumbing & Heating,+1-604-946-7778,neighbourhoodplumber.com,info@neighbourhoodplumber.com,Delta,BC,"Delta, Ladner, Tsawwassen, South Delta",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Neighbourhood+Plumbing+Heating+4814+42B+Ave+Delta+BC,BBB A+; twice voted Best Plumbing & Heating in Delta Optimist People's Choice Awards; Red Seal certified owner Kirby Reid; family-owned since 2013; Delta Chamber + Ladner Business Association member; South Delta community focus,Verified_Website
PJB Mechanical,+1-604-940-2268,pjbmechanical.com,,Delta,BC,"Delta, Richmond, Surrey, Vancouver, New Westminster, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=PJB+Mechanical+7402+Progress+Way+Delta+BC,Since 1996; BBB Accredited; full-service plumbing + heating + cooling + gas + electrical + drainage; residential + commercial; sustainable/green plumbing focus; licensed technicians,Verified_Website
Sierra Mechanical Limited,+1-604-943-1234,sierramechanical.ca,sales@sierramechanical.ca,Richmond,BC,"Delta, Tsawwassen, Ladner, North Delta, Richmond, Vancouver, New Westminster, South Surrey, White Rock",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Sierra+Mechanical+5133+Jaskow+Dr+Richmond+BC,Locally owned since 1998; TSBC Licence #LGA0005684; plumbing + heating + AC + gas fitting + backflow testing; Mon-Sat 7:30AM-8:30PM; Delta + Richmond primary coverage,Verified_Website
Fairy Stone Heating and Air Conditioning Inc.,,fairystone.ca,,New Westminster,BC,"New Westminster, Vancouver, North Vancouver, Burnaby, Lower Mainland",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Fairy+Stone+Heating+506+Seventh+Ave+New+Westminster+BC,BBB listed; family-run business based in New Westminster since 2023; licensed bonded insured; heat pump + ductless AC + furnace + boiler + hot water; CAUTION: phone not publicly listed — contact via website,Unverified
Eaton's Heating & Air Conditioning,+1-604-771-2024,eatonshomecare.com,info@eatonshomecare.com,Coquitlam,BC,"New Westminster, Coquitlam, Vancouver, Burnaby, Richmond, North Vancouver, West Vancouver, Surrey, Langley, Delta, Port Moody, Maple Ridge, Port Coquitlam",,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Eatons+Heating+17+Fawcett+Rd+Coquitlam+BC,20+ years experience; BCIT-trained technicians; FortisBC Trade Ally; CleanBC Better Homes partner; BBB Accredited; Bradford White dealer; same-day emergency; New Westminster dedicated service page,Verified_Website
Milani Plumbing Heating & Air Conditioning,+1-604-430-2603,milani.ca,,Burnaby,BC,"New Westminster, Burnaby, Vancouver, North Vancouver, Richmond, Delta, Lower Mainland",Daikin,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Milani+Plumbing+Heating+5526+Kingsway+Burnaby+BC,Since 1956; largest full-service plumbing + HVAC company in Greater Vancouver; 100+ vehicle fleet; BBB Accredited; Master Group Daikin dealer; 24/7 emergency; residential + commercial + strata,Verified_Website
Thomson Industries,+1-604-335-2019,thomsonindustries.ca,,Surrey,BC,"New Westminster, Surrey, Vancouver, Port Coquitlam, West Vancouver, Mission, Lower Mainland",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Thomson+Industries+9670+188+St+Surrey+BC,Since 1996; 4.7/5 Google rating; 24/7 365 days no extra charge; up to $6000 rebates offered; furnace + heat pump + AC + ductless + duct cleaning + plumbing + electrical; two locations Surrey + Port Coquitlam,Verified_Website
Coastal Heat Pumps,+1-250-656-6868,coastalheatpumps.com,,Victoria,BC,"Victoria, Sidney, Saanich, Langford, Colwood, Ladysmith, Gulf Islands","Samsung, Fujitsu, Carrier",Heat Pumps,https://maps.google.com/?q=Coastal+Heat+Pumps+538+Dupplin+Rd+Victoria+BC,BBB Accredited since 2014; Samsung HVAC Preferred Plus Dealer; ductless packages from $4500; rebates up to $11000; Greater Victoria to Ladysmith; 21 years in business; Mon-Fri 8AM-4:30PM,Verified_Website
Accutemp Refrigeration Air Conditioning & Heating Ltd.,+1-250-475-2665,accutemp.ca,,Victoria,BC,"Victoria, Saanich, Langford, Oak Bay, Duncan, South Vancouver Island","Samsung, Mitsubishi, Fujitsu, Daikin, York","Heat Pumps, Gas Backup",https://maps.google.com/?q=Accutemp+3375+Whittier+Ave+Victoria+BC,40+ years serving Greater Victoria to Duncan; Master Group Daikin dealer; residential + commercial; 24/7 emergency; CleanBC rebate paperwork handled; 7 days/week emergency repairs,Verified_Website
South Island Mechanical Ltd.,+1-250-589-8929,southislandmechanical.ca,,Victoria,BC,"Victoria, Langford, Saanich, Sidney, Sooke, Duncan, Ladysmith, Nanaimo, Port Alberni, Courtenay, Campbell River, Gulf Islands",,"Heat Pumps, Air-to-Water",https://maps.google.com/?q=South+Island+Mechanical+888+Attree+Ave+Victoria+BC,20+ years HVAC/R experience; all brands and types including air-to-water hydronic systems; residential + commercial + light industrial + marine; BBB listed; widest Island coverage,Verified_Website
Pacific Heat Pumps,+1-250-655-4348,pacificheatpumps.ca,info@pacificheatpumps.ca,Sidney,BC,"Greater Victoria, Sidney, Gulf Islands, Saanich Peninsula",Carrier,Heat Pumps,https://maps.google.com/?q=Pacific+Heat+Pumps+9843+Second+St+Sidney+BC,Carrier Authorized Dealer; 300+ 5-star reviews; showroom in Sidney; Generac standby generators + Level 2 EV chargers + 200-amp panel upgrades; BBB listed; Victoria Chamber member; free consultations,Verified_Website
West Bay Mechanical Ltd.,+1-250-478-8532,westbaymechanical.com,,Victoria,BC,"Victoria, Langford, Colwood, Esquimalt, View Royal, Duncan, South Vancouver Island",Lennox,"Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=West+Bay+Mechanical+584+Ledsham+Rd+Victoria+BC,35+ years; Lennox Authorized Dealer; plumbing + electrical + mechanical combined; residential + commercial; showroom at 1740 Island Highway; 24/7 emergency; BBB A+,Verified_Website
Dupuis Energy Inc.,+1-250-858-6743,dupuis.energy,info@dupuis.energy,Victoria,BC,"Victoria, Sidney, Sooke, Saanich, Langford, South Vancouver Island",,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Dupuis+Energy+7957+Lochside+Dr+Victoria+BC,Class A Gas Fitter (Technical Safety BC); fully licensed and insured; Sidney to Sooke coverage; heat pump + furnace + ductless AC; 24/7 emergency; BBB listed; owner-operated,Verified_Website
Victoria Furnace Services,+1-778-400-7148,victoriafurnaceservices.com,info@victoriafurnaceservices.com,Victoria,BC,"Victoria, Saanich, Langford, Esquimalt, Capital Regional District",Lennox,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Victoria+Furnace+Services+Victoria+BC,Lennox dealer; heat pump + gas furnace + electric furnace + duct cleaning; CRD coverage; CAUTION: no physical address confirmed in public listings — verify independently,Verified_Website
Sasquatch Heat Pumps Ltd.,+1-236-361-8293,sasquatchheatpumps.com,,Sooke,BC,"Sooke, Victoria, Langford, Colwood, View Royal, Western Communities, South Vancouver Island",Carrier,Heat Pumps,https://maps.google.com/?q=Sasquatch+Heat+Pumps+6625+Sooke+Rd+Sooke+BC,Carrier Authorized Dealer; BBB Accredited; BC Green Business certified; plants 50 trees per HVAC install; ducted + ductless + residential electrical; flat-rate pricing; 24/7,Verified_Website
ServiceXCEL Heating & Cooling,+1-250-760-0898,servicexcel.ca,,Nanaimo,BC,"Nanaimo, Parksville, Qualicum, Ladysmith, Courtenay, Coastal Islands, Central Vancouver Island",Daikin,"Heat Pumps, Gas Backup",https://maps.google.com/?q=ServiceXCEL+3172+Barons+Rd+Nanaimo+BC,BBB A+; 3x BBB Torch Award winner; 500+ 5-star reviews; Daikin ducted + ductless + hybrid; ERV/HRV; CleanBC rebate guidance; Nanaimo Chamber member; Mon-Fri 8AM-5PM,Verified_Website
Bryans Mechanical Ltd.,+1-250-758-0738,bryansmechanical.com,bryansmechanical@gmail.com,Nanaimo,BC,"Nanaimo, Comox Valley, Central Vancouver Island","Daikin, Bryant, Napoleon, Navien","Heat Pumps, Gas Backup, Hydronics",https://maps.google.com/?q=Bryans+Mechanical+2122+Northfield+Rd+Nanaimo+BC,Family owned since 1993; Daikin Comfort Pro + Bryant Authorized Dealer; ductless + ducted heat pumps; Norlake commercial refrigeration; BBB listed; satisfaction guaranteed,Verified_Website
Lone Wolf HVAC Ltd.,+1-250-739-6030,lonewolfhvac.ca,admin@lonewolfhvac.ca,Ladysmith,BC,"Nanaimo, Ladysmith, Central Vancouver Island",Mitsubishi,Heat Pumps,https://maps.google.com/?q=Lone+Wolf+HVAC+132+High+St+Ladysmith+BC,Red Seal journeyman on every visit; Mitsubishi specialist; detailed heat load calculations before sizing; BBB listed; TECA member; no oversized systems — precise engineering focus,Verified_Website
The Comfort Group,+1-250-756-5554,comfortgroup.ca,,Nanaimo,BC,"Nanaimo, Victoria, Central Vancouver Island",Lennox,"Heat Pumps, Gas Backup",https://maps.google.com/?q=The+Comfort+Group+4385+Boban+Dr+Nanaimo+BC,Lennox dealer; Nanaimo + Victoria locations; residential + light commercial; heat pump + furnace + AC; CleanBC rebate assistance,Verified_Website
Norm's Plumbing Heating & Air Conditioning,,normsmobile.ca,,Nanaimo,BC,"Nanaimo, Parksville, Ladysmith, Central Vancouver Island",Bryant,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Norms+Plumbing+Heating+Nanaimo+BC,52+ years experience; Bryant Factory Authorized Dealer; up to $1500 off qualifying installs; rebate guidance (FortisBC); local family-owned community-driven; CAUTION: phone not confirmed — verify via website,Unverified
Pope and Sons Heating Cooling & Refrigeration,,popeandsons.com,,Nanaimo,BC,"Nanaimo, Central Vancouver Island",Carrier,"Heat Pumps, Gas Backup",https://maps.google.com/?q=Pope+and+Sons+Heating+Nanaimo+BC,40+ years experience; Carrier Factory Authorized Dealer; ductless heat pumps with independent temperature zones; residential + commercial refrigeration; CAUTION: phone not confirmed — verify via website,Unverified
Coastal Energy,+1-250-591-0281,coastalenergy.ca,,Nanaimo,BC,"Nanaimo, Parksville, Courtenay, Campbell River, Central and North Vancouver Island","Fujitsu, Carrier, Hitachi, Moovair","Heat Pumps, Gas Backup",https://maps.google.com/?q=Coastal+Energy+Nanaimo+BC,Multi-brand installer; Fujitsu + Carrier + Hitachi + Moovair; serving Central and North Island; residential + commercial; rebate assistance,Verified_Website
Comfort Tech Heating & Cooling,+1-250-258-5713,https://www.comforttech.ca,,Kelowna,BC,"Kelowna, West Kelowna, Lake Country",Daikin,Heat Pumps,https://www.google.com/maps/search/Comfort+Tech+Heating+Cooling+715+Evans+Court+Kelowna+BC,BBB A+ accredited 10+ years; family-owned; 24/7 emergency service; 715 Evans Court #6 Kelowna BC V1X 6G4,Verified_Website
Blair Mechanical Services Ltd.,+1-250-491-2700,https://www.blairmechanical.com,,Kelowna,BC,"Kelowna, West Kelowna, Peachland",Multiple,Heat Pumps,https://www.google.com/maps/search/Blair+Mechanical+Services+1060+Leathead+Rd+Kelowna+BC,BBB A+; family-owned since 1993; full-service: heat pumps + plumbing + electrical + EV chargers; 24/7 emergency; 1060 Leathead Rd #4 Kelowna BC V1X 2K1,Verified_Website
Vision Plumbing Heating Cooling,+1-778-909-0818,https://www.visionplumbingandheating.com,,Kelowna,BC,"Kelowna, Vernon, Penticton, Okanagan Valley","Multiple, Daikin",Heat Pumps,https://www.google.com/maps/search/Vision+Plumbing+Heating+Cooling+2600+Acland+Rd+Kelowna+BC,TSBC licence #LGA0003114; family-owned since 1986; Okanagan Valley-wide coverage; 2600 Acland Rd #8 Kelowna BC V1X 7J3,Verified_Website
Murray's Heating & Cooling Solutions Ltd.,+1-250-575-8907,https://www.murrayssolutions.com,service@murrayssolutions.com,Kelowna,BC,"Kelowna, West Kelowna, Lake Country",Tempstar,Heat Pumps,https://www.google.com/maps/search/Murrays+Heating+Cooling+3350+Sexsmith+Rd+Kelowna+BC,Carrier subsidiary brand (Tempstar); established 2016; residential focus; 3350 Sexsmith Rd #3 Kelowna BC V1X 7S5,Verified_Website
ACE Plumbing & Heating,+1-250-861-6696,https://www.acekelowna.ca,,Kelowna,BC,"Kelowna, West Kelowna, Lake Country, Vernon",Carrier,"Heat Pumps, VRF",https://www.google.com/maps/search/ACE+Plumbing+Heating+2075+Pier+Mac+Way+Kelowna+BC,Carrier President's Award every year since 2016; 40+ years in business; 90 employees; Kelowna Chamber Large Business of the Year 2021; HPCN member; residential and commercial; 2075 Pier Mac Way Kelowna BC,Verified_Website
Canadian Aerothermal,+1-877-663-6472,https://www.canadianaerothermal.ca,,Penticton,BC,"Kelowna, Penticton, Vernon, Kamloops, Chilliwack, Vancouver, Kootenays, Shuswap","Mitsubishi, Fujitsu, Daikin","Heat Pumps, VRF",https://www.google.com/maps/search/Canadian+Aerothermal+742+Eckhardt+Ave+Penticton+BC,HQ Penticton; listed here due to Okanagan-wide service; since 2006; 5000+ installs; Mitsubishi Elite + Fujitsu + Daikin dealer; province-wide coverage; 742 Eckhardt Ave W Penticton BC V2A 2B7,Verified_Website
Rapid Cool Mechanical,+1-250-374-6858,https://rapidcool.ca,info@rapidcool.ca,Kamloops,BC,"Kamloops, Merritt","Bryant, Carrier",Heat Pumps,https://www.google.com/maps/search/Rapid+Cool+Mechanical+921+Laval+Crescent+Kamloops+BC,BBB A+ accredited; Bryant Factory Authorized Dealer + Carrier Commercial; 24/7 service; plumbing + refrigeration + HVAC; 921B Laval Crescent Kamloops BC V2C 5P4,Verified_Website
KVA Mechanical Ltd.,+1-250-554-0505,https://www.kvamechanical.com,,Kamloops,BC,"Kamloops, Thompson-Nicola Region",Multiple,Heat Pumps,https://www.google.com/maps/search/KVA+Mechanical+1139+12th+Street+Kamloops+BC,"BBB A+; family-owned since 1980; 20 combined tickets: Class A Gas, TECA, Sheet Metal, Electrical; rebates up to $6,000; 1139 12th St Unit 10 Kamloops BC V2B 7Z2",Verified_Website
Full Spectrum Heating and Air-Conditioning Ltd.,+1-250-319-5938,https://fullspectrumheating.ca,info@fullspectrumheating.ca,Kamloops,BC,Kamloops,Carrier,Heat Pumps,https://www.google.com/maps/search/Full+Spectrum+Heating+1450+Pearson+Place+Kamloops+BC,Carrier dealer; HPCN member; FortisBC verified contractor; 20+ years experience; 24/7 emergency; 1450 Pearson Pl #200 Kamloops BC V1S 1J9,Verified_Website
Kamloops Heating and Air Conditioning,+1-250-879-2777,https://kamloopsheatingandairconditioning.com,service@kamloopshvac.com,Kamloops,BC,"Kamloops, Clearwater, Lillooet",Multiple,Heat Pumps,https://www.google.com/maps/search/Kamloops+Heating+Air+Conditioning+805+Notre+Dame+Dr+Kamloops+BC,Since 2008; 4.8 stars 168 reviews; 10-year parts and labor warranty on new installs; 24/7; free estimates; 115-805 Notre Dame Dr Kamloops BC V2C 5N8,Verified_Website
Hadwin's HVAC & Gas Inc.,+1-250-574-9333,https://hadwinshvac.ca,info@hadwinshvac.ca,Kamloops,BC,"Kamloops, Chase, Vernon, Merritt, Ashcroft, Salmon Arm, Sun Peaks, Clearwater, Barriere",Multiple,Heat Pumps,https://www.google.com/maps/search/Hadwins+HVAC+Gas+450+Lorne+Street+Kamloops+BC,BBB accredited; since 2011; serves 20+ BC communities; same-day parts stocked; flat-rate pricing; 24/7 live answering; 450 Lorne St Kamloops BC V2C 1W3,Verified_Website
Halliday Refrigeration Ltd.,+1-250-376-1474,https://www.hallidayrefrigeration.com,,Kamloops,BC,Kamloops,Multiple,Heat Pumps,https://www.google.com/maps/search/Halliday+Refrigeration+2020+Falcon+Road+Kamloops+BC,Family-owned since 1968; BBB accredited; residential and commercial refrigeration specialty; 24/7 emergency; H-2020 Falcon Rd Kamloops BC V2C 4J3,Verified_Website
KDB HVAC Inc.,+1-250-572-0209,https://kdbhvac.ca,info@kdbhvac.ca,Kamloops,BC,Kamloops,Fujitsu,Heat Pumps,https://www.google.com/maps/search/KDB+HVAC+340+12th+Avenue+Kamloops+BC,Fujitsu authorized dealer; Red Seal ticketed tradespeople; Kamloops Chamber member; 100% locally owned; 24/7 emergency; 340B 12 Ave Kamloops BC,Verified_Website
HVAC Strong Mechanical Ltd.,+1-778-999-5815,https://hvacstrong.ca,,Prince George,BC,"Prince George, Northern BC","Mitsubishi, GE, Continental, Tosot",Heat Pumps,https://www.google.com/maps/search/HVAC+Strong+Mechanical+4780+Wood+Place+Prince+George+BC,First HPCN accredited contractor in Northern BC; TSBC licensed; Mitsubishi dealer + sole GE dealer in PG; 5-star 124 reviews; 24/7; listed on Better Homes BC; 4780 Wood Place Prince George BC V2M 6C4,Verified_Website
Heat Tech Heating & Ventilation Ltd.,+1-250-962-0041,https://www.heattechheating.ca,,Prince George,BC,Prince George,Trane,Heat Pumps,https://www.google.com/maps/search/Heat+Tech+Heating+Ventilation+123+Ruggles+Street+Prince+George+BC,BBB A+; family-owned since 1998; Trane authorized dealer; 24/7/365 emergency; 123 Ruggles St Prince George BC,Verified_Website
Canuck Mechanical Ltd.,+1-250-564-4567,https://www.canuckmechanical.com,,Prince George,BC,"Prince George, Central Interior BC","Amana, Goodman, Viessmann","Heat Pumps, Hydronics",https://www.google.com/maps/search/Canuck+Mechanical+1797+Lyon+Street+South+Prince+George+BC,BBB accredited; since 1983; 40+ years; Viessmann boiler dealer; largest stocked trucks in town; 100+ years combined technician experience; 24/7 emergency; 100-1797 Lyon St S Prince George BC V2N 1T3,Verified_Website
Polar Refrigeration Sales & Service Ltd.,+1-250-563-6444,https://www.polarrefrig.ca,polarrefrig@telus.net,Prince George,BC,"Prince George, North Central Interior BC",Lennox,Heat Pumps,https://www.google.com/maps/search/Polar+Refrigeration+910+3rd+Avenue+Prince+George+BC,Lennox Premier Dealer; Lennox 20 Years of Service Award; 50+ years in business; residential and commercial; Prince George Chamber + Homebuilders Association member; 24/7 emergency; 910 3rd Ave Prince George BC V2L 3C9,Verified_Website
Mainline Plumbing & Heating Ltd.,+1-250-564-9808,https://mainlineplumbingandheating.com,vmarsh@mainlineltd.ca,Prince George,BC,"Prince George, Central Interior BC",Multiple,"Heat Pumps, Hydronics",https://www.google.com/maps/search/Mainline+Plumbing+Heating+3658+Opie+Crescent+Prince+George+BC,50+ years in business; BBB accredited; boiler + heat pump + plumbing specialty; 24/7 emergency; Northern BC Homebuilders Association member; 3658 Opie Crescent Prince George BC V2N 1C1,Verified_Website
Budget Choice Heating & Cooling,+1-250-617-9510,https://www.budgetchoiceheating.ca,,Prince George,BC,"Prince George, Williams Lake","YORK, KeepRite, Continental",Heat Pumps,https://www.google.com/maps/search/Budget+Choice+Heating+Cooling+Prince+George+BC,BBB A+; City of Prince George business directory listed; since 2013; 24/7; serves Prince George and Williams Lake; CAUTION: no physical street address confirmed in public records,Unverified
Prince George Plumbing & Heating Ltd.,+1-250-614-3767,https://pgplumbingandheating.ca,,Prince George,BC,Prince George,Multiple,Heat Pumps,https://www.google.com/maps/search/PG+Plumbing+Heating+6716+Edelweiss+Road+Prince+George+BC,Residential and commercial; 24/7 emergency; 6716 Edelweiss Rd Prince George BC V2K 3G4,Verified_Website
Complete Heating & Air Conditioning,+1-604-859-1501,https://completeheating.ca,,Abbotsford,BC,"Abbotsford, Chilliwack, Mission, Langley","Bryant, Lennox, Carrier",Heat Pumps,https://www.google.com/maps/search/Complete+Heating+Air+Conditioning+2350+Anora+Drive+Abbotsford+BC,BBB A+; multi-brand: Bryant + Lennox + Carrier; warranty repairs all major brands; annual maintenance programs; 2350 Anora Dr Abbotsford BC V2S 5P8,Verified_Website
AirVantage Heating & Cooling,+1-604-200-0178,https://callairvantage.ca,,Abbotsford,BC,"Abbotsford, Mission, Chilliwack, Langley, Maple Ridge",Multiple,Heat Pumps,https://www.google.com/maps/search/AirVantage+Heating+Cooling+3095+McCallum+Road+Abbotsford+BC,BBB A+; family-owned since 1962; 2000+ Google reviews; 24/7 emergency; 100% satisfaction guarantee; upfront pricing; 6A-3095 McCallum Rd Abbotsford BC V2S 7W4,Verified_Website
Wagner Heating & Air Ltd.,+1-604-855-9516,https://wagnerheating.com,,Abbotsford,BC,"Abbotsford, Aldergrove, Mission, Chilliwack, Langley",Trane,Heat Pumps,https://www.google.com/maps/search/Wagner+Heating+Air+37459+Kilgard+Road+Abbotsford+BC,BC's ONLY Trane Comfort Specialist Prime Dealer; BBB accredited; family-owned; Trane extended parts and labour warranties; 24/7 emergency; 110-37459 Kilgard Rd Abbotsford BC V3G 2H6,Verified_Website
Luxury Climate,+1-604-991-4328,https://www.luxuryclimate.ca,,Agassiz,BC,"Abbotsford, Chilliwack, Mission, Hope, Fraser Valley","Fujitsu, Mitsubishi, Daikin, American Standard","Heat Pumps, Air-to-Water",https://www.google.com/maps/search/Luxury+Climate+1609+Agassiz+Rosedale+Highway+Agassiz+BC,HQ Agassiz; Fujitsu Elite Dealer (12-year extended warranty); air-to-water cold climate heat pumps; Red Seal certified technicians; 20 years HVAC/R experience; 3-1609 Agassiz-Rosedale Hwy No 9 Agassiz BC,Verified_Website
Rep-Air Heating & Cooling,+1-778-728-1476,https://www.repairheatingandcooling.com,contact@repairheatingandcooling.com,Mission,BC,"Mission, Abbotsford, Maple Ridge, Surrey",Multiple,Heat Pumps,https://www.google.com/maps/search/Rep-Air+Heating+Cooling+32929+Mission+Way+Mission+BC,HQ Mission; family-owned since 2017; Mission Chamber of Commerce member; licensed bonded insured; free consultations; 32929 Mission Way #4 Mission BC V2V 6E4,Verified_Website
John Mulder Heating & Air Conditioning Ltd.,+1-604-792-1767,https://www.johnmulderheating.ca,info@johnmulderheating.ca,Chilliwack,BC,"Chilliwack, Abbotsford, Agassiz, Hope",Lennox,Heat Pumps,https://www.google.com/maps/search/John+Mulder+Heating+46064+Airport+Road+Chilliwack+BC,Lennox Premier Dealer; serving Fraser Valley since 1984; full-service: heat pumps + boilers + furnaces + gas fitting; commercial and residential; weekend emergency on-call; 46064 Airport Rd Chilliwack BC V2P 1A5,Verified_Website
Chilliwack Heating Ltd. & JC Fireplaces and Spas,+1-604-426-0189,https://www.chilliwackheating.ca,,Chilliwack,BC,"Chilliwack, Abbotsford, Langley, Hope, Agassiz",Multiple,Heat Pumps,https://www.google.com/maps/search/Chilliwack+Heating+8915+Young+Road+Chilliwack+BC,BBB accredited; since 1992; WETT-certified technicians; showroom (largest fireplace selection in Chilliwack); Chilliwack Chamber member; 24/7 same-day emergency; 8915 Young Rd Chilliwack BC V2P 4P7,Verified_Website
Neels Heating & Supplies Ltd.,+1-604-792-1951,https://www.neelsheating.com,,Chilliwack,BC,"Chilliwack, Fraser Valley",Multiple,Heat Pumps,https://www.google.com/maps/search/Neels+Heating+Supplies+8465+Harvard+Place+Chilliwack+BC,Incorporated 1974; 50+ years serving Fraser Valley; licensed and apprentice HVAC technicians; Chilliwack Chamber member; 19-8465 Harvard Place Chilliwack BC V2P 7Z5,Verified_Website
High Standard Heating & Cooling Corporation,+1-604-799-5377,https://highstandardhvac.ca,office@highstandardhvac.ca,Chilliwack,BC,"Chilliwack, Mission, Agassiz, Hope, Harrison Hot Springs",Multiple,Heat Pumps,https://www.google.com/maps/search/High+Standard+HVAC+45831+Hocking+Avenue+Chilliwack+BC,BBB accredited; Chilliwack Chamber member; residential and commercial; 24/7 emergency; gas installation and piping; 201-45831 Hocking Ave Chilliwack BC V2P 1B5,Verified_Website
Chill-Air Conditioning (2014) Ltd.,+1-604-792-6783,https://www.chill-air.com,,Chilliwack,BC,"Chilliwack, Abbotsford, Fraser Valley",Multiple,Heat Pumps,https://www.google.com/maps/search/Chill+Air+Conditioning+44125+Yale+Road+Chilliwack+BC,Since 1989; commercial and residential refrigeration specialty; 100+ years combined experience; Chilliwack Chamber member; 24/7 on-call technicians; 44125 Yale Rd W Chilliwack BC V2R 3Z9,Verified_Website
RPR Heating & Air Conditioning,+1-250-492-3677,https://www.rprheating.com,,Penticton,BC,"Penticton, South Okanagan, Similkameen",Daikin,Heat Pumps,https://www.google.com/maps/search/RPR+Heating+Air+Conditioning+154+Ellis+Street+Penticton+BC,HPCN member; since 1979; TSBC licence LGA0205242; Daikin Master Group dealer; geothermal capability; ductless + ducted + fan coils + sheet metal; commercial and residential; 154 Ellis St Penticton BC V2A 4L5,Verified_Website
All Valley Heat Pumps & AC,+1-250-493-4822,https://www.allvalleyheatpumps.com,,Penticton,BC,"Penticton, Summerland, Osoyoos",Daikin,Heat Pumps,https://www.google.com/maps/search/All+Valley+Heat+Pumps+354+Scott+Avenue+Penticton+BC,Owner-operated; Red Seal Refrigeration Mechanic; TECA certified; FortisBC Trade Ally; TSBC LEL0201557 + LGA0102887; Daikin dealer; 354 Scott Ave Penticton BC V2A 2J8,Verified_Website
Fehling's Sheet Metal Ltd.,+1-250-492-8076,https://www.fehlingssheetmetal.com,fehlings@shaw.ca,Penticton,BC,"Penticton, South Okanagan",York,Heat Pumps,https://www.google.com/maps/search/Fehlings+Sheet+Metal+560+Okanagan+Avenue+East+Penticton+BC,Family-owned since 1984; York Certified Comfort Expert (CCE); FortisBC Trade Ally; TSBC LGA0003043; Red Seal journeyman technicians; 24/7 emergency; CHBA South Okanagan member; 560 Okanagan Ave E Penticton BC V2A 3K5,Verified_Website
Valleywide Climate Solutions Ltd.,+1-250-328-2115,https://valleywideltd.ca,,Kaleden,BC,"Penticton, Kaleden, Okanagan Falls, Oliver",Multiple,Heat Pumps,https://www.google.com/maps/search/Valleywide+Climate+Solutions+434+Highway+97+Kaleden+BC,HQ Kaleden (rural south of Penticton); BBB A+ (not accredited); since 2015; commercial + residential; refrigeration + walk-in cooler service; 434 Hwy 97 Kaleden BC V0H 1K0,Verified_Website
Sarsons Mechanical Services Ltd.,+1-250-497-8858,https://www.sarsonsmechanical.com,,Okanagan Falls,BC,"Okanagan Falls, Oliver, Penticton, Summerland, Osoyoos, Keremeos, Naramata","Daikin, Amana","Heat Pumps, VRF",https://www.google.com/maps/search/Sarsons+Mechanical+1101+Main+Street+Okanagan+Falls+BC,HQ Okanagan Falls; 30+ years; full Daikin lineup including Daikin VRV (commercial VRF); Amana Lifetime Replacement Warranty; 1-year labour warranty; 1101 Main St Okanagan Falls BC V0H 1R0,Verified_Website
Applewood Heating & Air Conditioning Ltd.,+1-250-549-4777,https://www.applewoodheating.net,,Vernon,BC,"Vernon, North Okanagan",Lennox,Heat Pumps,https://www.google.com/maps/search/Applewood+Heating+Air+Conditioning+1800+Kalamalka+Lake+Road+Vernon+BC,Lennox Premier Dealer; family-owned since 1997; showroom with gas/propane/wood BBQs; full-service: heat pumps + furnaces + hot water + electrical; 8-1800 Kalamalka Lake Rd Vernon BC V1T 6V3,Verified_Website
Air Tech Plumbing Heating Cooling & Green Energy,+1-250-542-7255,https://www.airtechmechanical.ca,info@airtechmechanical.ca,Vernon,BC,"Vernon, Kelowna, West Kelowna, Kamloops",Lennox,Heat Pumps,https://www.google.com/maps/search/Air+Tech+Mechanical+4315+25th+Avenue+Vernon+BC,Lennox authorized dealer; HRAI member; since 2006; 4 BC Interior locations; full-scope: plumbing + HVAC + electrical + geothermal; 24/7; BBB; A-4315 25 Ave Vernon BC V1T 1P5,Verified_Website
